,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,5641.01436861,1508216400,5663.56289925,5641.01436861,5647.00000181,10.82071915,61117.50922861,5648.19291411
1,5630.51777179,1508216700,5653.35270573,5630.51777179,5645,7.72542103,43595.1197147,5643.07363254
2,5639.55046142,1508217000,5639.55046267,5627.65046214,5630.51777252,11.57957759,65230.79727338,5633.26224695
3,5628.11358631,1508217300,5633.96584788,5620,5629.0004622,11.69501465,65822.65182291,5628.26587163
4,5610.90860645,1508217600,5633.96584783,5610.1,5628.11358659,26.03216036,146403.55985615,5623.9496773
5,5627.26609202,1508217900,5627.26609228,5605,5610.90860646,25.1758651,141440.74421025,5618.10859918
6,5648.65807743,1508218200,5648.65807861,5611.00000103,5622.59890392,32.6102634,183530.36341906,5627.99389774
7,5637.71595515,1508218500,5647.61676467,5627.26609238,5640.4000009,14.08122619,79326.45525541,5633.4905913
8,5628,1508218800,5637.86103524,5628,5637.71595515,11.51387408,64853.80896567,5632.66616562
9,5637.71595257,1508219100,5637.71595417,5615.2775,5632.61482643,15.69807125,88348.17173236,5627.96348197
10,5615,1508219400,5637.93,5610,5637.71595249,30.87516727,173629.9464955,5623.61152498
11,5609.99999996,1508219700,5627.99999954,5609,5614.89905504,10.96966358,61590.63392184,5614.63288939
12,5604.65812795,1508220000,5613.31504092,5594.1432489,5609.99999996,39.33942623,220361.47183654,5601.54259871
13,5616.0000006,1508220300,5630,5604.65812795,5604.65812795,10.2997779,57843.90874526,5616.03456956
14,5635.99999958,1508220600,5635.99999997,5621.70425554,5622.49999984,5.51308204,31026.44278459,5627.78543099
15,5634.99999997,1508220900,5635,5626.99999954,5632.21180291,4.61464769,25996.12858134,5633.39399401
16,5645.99999988,1508221200,5650.90060748,5625.87103563,5634.99999997,45.12012213,254309.17392636,5636.26962696
17,5649.99999973,1508221500,5650.00000027,5627,5627.00000003,19.99916182,112697.00848419,5635.08658505
18,5653.1131005,1508221800,5653.1131005,5634.1,5649.9999997,17.19261515,97038.9836273,5644.22473141
19,5668.99999982,1508222100,5669.26780494,5642.16629284,5653.11310047,9.19407048,51980.92349937,5653.7442923
20,5665.91832549,1508222400,5675.75943567,5656,5667.99999997,21.89707268,124139.66070538,5669.23545076
21,5669.89999955,1508222700,5669.9999998,5653.28664987,5661.92900238,17.2785629,97812.61324679,5660.92294902
22,5650.49999982,1508223000,5678.49999997,5650,5669.89999955,23.70923781,134152.87819529,5658.25351579
23,5645.00710496,1508223300,5661.09506906,5635.0000001,5661.09506903,33.73846446,190432.35082087,5644.3692346
24,5663.65258804,1508223600,5675.9,5648.78557923,5659.99999861,15.10062877,85488.3711869,5661.24579903
25,5666.99999967,1508223900,5669.99999991,5660,5663.65258798,8.08316396,45785.89745019,5664.35342358
26,5656.00000038,1508224200,5671.99999959,5656.00000002,5666.99999967,17.97150662,101844.00103464,5666.97067686
27,5660.61986455,1508224500,5666.00710493,5650,5666.00710493,31.35805411,177337.90482324,5655.25858846
28,5655.10000059,1508224800,5666.86516971,5645,5655.10000052,14.64549436,82835.0270188,5656.00757356
29,5655.10000059,1508225100,5671.8,5655.10000059,5660,15.84504345,89687.17034974,5660.26660846
30,5652.28240606,1508225400,5673.294028,5652.28240605,5671.39999891,32.38336432,183396.27881782,5663.28677297
31,5648.90071183,1508225700,5668.35288082,5648.90071183,5655.00000001,36.17427623,204666.13176723,5657.78097303
32,5643.40000031,1508226000,5657.79999997,5643.06517756,5657.79999997,9.2137915,52078.63968312,5652.24855404
33,5653.69999997,1508226300,5656.9,5645.40000016,5654.9999983,11.21807822,63407.01704134,5652.21741173
34,5635.73489,1508226600,5653.69999997,5633.0875175,5653.69999997,13.25314032,74744.21566354,5639.73623298
35,5633.00000003,1508226900,5644.91700159,5632.4252757,5639,8.71595483,49146.77483628,5638.71380644
36,5632.58792553,1508227200,5644.79999973,5627.68133054,5633.00000003,12.59411503,70957.7931047,5634.20239815
37,5642.64040933,1508227500,5646.7348895,5632.58792566,5646.73488865,13.75180601,77574.77407347,5641.06081899
38,5646.734889,1508227800,5652.62795994,5637.67028875,5646.73488775,9.17021431,51760.58802255,5644.42512168
